025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:13:25,903 - Batch 2600-2650 processed in 1.28 seconds | Locations found: 4 | Total locations: 182
2025-02-20 21:13:26,816 - Batch 2650-2700 processed in 0.91 seconds | Locations found: 3 | Total locations: 185
2025-02-20 21:13:28,177 - Batch 2700-2750 processed in 1.36 seconds | Locations found: 0 | Total locations: 185
2025-02-20 21:13:29,968 - Batch 2750-2800 processed in 1.79 seconds | Locations found: 2 | Total locations: 187
2025-02-20 21:13:31,285 - Batch 2800-2850 processed in 1.32 seconds | Locations found: 6 | Total locations: 193
2025-02-20 21:13:32,925 - Batch 2850-2900 processed in 1.64 seconds | Locations found: 5 | Total locations: 198
2025-02-20 21:13:34,234 - Batch 2900-2950 processed in 1.31 seconds | Locations found: 2 | Total locations: 200
2025-02-20 21:13:35,260 - Batch 2950-3000 processed in 1.03 seconds | Locations found: 3 | Total locations: 203
2025-02-20 21:13:36,351 - Batch 3000-3050 processed in 1.09 seconds | Locations found: 2 | Total locations: 205
2025-02-20 21:13:37,400 - Batch 3050-3100 processed in 1.05 seconds | Locations found: 3 | Total locations: 208
2025-02-20 21:13:39,222 - Batch 3100-3150 processed in 1.82 seconds | Locations found: 6 | Total locations: 214
2025-02-20 21:13:40,773 - Batch 3150-3200 processed in 1.55 seconds | Locations found: 6 | Total locations: 220
2025-02-20 21:13:41,702 - Batch 3200-3250 processed in 0.93 seconds | Locations found: 2 | Total locations: 222
2025-02-20 21:13:43,355 - Batch 3250-3300 processed in 1.65 seconds | Locations found: 3 | Total locations: 225
2025-02-20 21:13:44,609 - Batch 3300-3350 processed in 1.25 seconds | Locations found: 2 | Total locations: 227
2025-02-20 21:13:46,521 - Batch 3350-3400 processed in 1.91 seconds | Locations found: 1 | Total locations: 228
2025-02-20 21:13:47,716 - Batch 3400-3450 processed in 1.20 seconds | Locations found: 3 | Total locations: 231
2025-02-20 21:13:48,722 - Batch 3450-3500 processed in 1.01 seconds | Locations found: 8 | Total locations: 239
2025-02-20 21:13:50,097 - Batch 3500-3550 processed in 1.38 seconds | Locations found: 1 | Total locations: 240
2025-02-20 21:13:51,549 - Batch 3550-3600 processed in 1.45 seconds | Locations found: 2 | Total locations: 242
2025-02-20 21:13:52,411 - Batch 3600-3650 processed in 0.86 seconds | Locations found: 1 | Total locations: 243
2025-02-20 21:13:53,520 - Batch 3650-3700 processed in 1.11 seconds | Locations found: 4 | Total locations: 247
2025-02-20 21:13:54,547 - Batch 3700-3750 processed in 1.03 seconds | Locations found: 2 | Total locations: 249
2025-02-20 21:13:55,700 - Batch 3750-3800 processed in 1.15 seconds | Locations found: 2 | Total locations: 251
2025-02-20 21:13:56,792 - Batch 3800-3850 processed in 1.09 seconds | Locations found: 4 | Total locations: 255
2025-02-20 21:13:59,214 - Batch 3850-3900 processed in 2.42 seconds | Locations found: 3 | Total locations: 258
2025-02-20 21:14:00,778 - Batch 3900-3950 processed in 1.56 seconds | Locations found: 2 | Total locations: 260
2025-02-20 21:14:01,710 - Batch 3950-4000 processed in 0.93 seconds | Locations found: 1 | Total locations: 261
2025-02-20 21:14:02,889 - Batch 4000-4050 processed in 1.18 seconds | Locations found: 4 | Total locations: 265
2025-02-20 21:14:04,129 - Batch 4050-4100 processed in 1.24 seconds | Locations found: 4 | Total locations: 269
2025-02-20 21:14:05,386 - Batch 4100-4150 processed in 1.26 seconds | Locations found: 2 | Total locations: 271
2025-02-20 21:14:06,753 - Batch 4150-4200 processed in 1.37 seconds | Locations found: 5 | Total locations: 276
2025-02-20 21:14:07,918 - Batch 4200-4250 processed in 1.16 seconds | Locations found: 3 | Total locations: 279
2025-02-20 21:14:08,983 - Batch 4250-4300 processed in 1.06 seconds | Locations found: 1 | Total locations: 280
2025-02-20 21:14:10,211 - Batch 4300-4350 processed in 1.23 seconds | Locations found: 4 | Total locations: 284
2025-02-20 21:14:11,456 - Batch 4350-4400 processed in 1.24 seconds | Locations found: 2 | Total locations: 286
2025-02-20 21:14:12,690 - Batch 4400-4450 processed in 1.23 seconds | Locations found: 2 | Total locations: 288
2025-02-20 21:14:14,248 - Batch 4450-4500 processed in 1.56 seconds | Locations found: 5 | Total locations: 293
2025-02-20 21:14:17,400 - Batch 4500-4550 processed in 3.15 seconds | Locations found: 1 | Total locations: 294
2025-02-20 21:14:18,515 - Batch 4550-4600 processed in 1.11 seconds | Locations found: 0 | Total locations: 294
2025-02-20 21:14:19,928 - Batch 4600-4650 processed in 1.41 seconds | Locations found: 3 | Total locations: 297
2025-02-20 21:14:20,939 - Batch 4650-4700 processed in 1.01 seconds | Locations found: 4 | Total locations: 301
2025-02-20 21:14:22,005 - Batch 4700-4750 processed in 1.07 seconds | Locations found: 6 | Total locations: 307
2025-02-20 21:14:23,316 - Batch 4750-4800 processed in 1.31 seconds | Locations found: 4 | Total locations: 311
2025-02-20 21:14:24,341 - Batch 4800-4850 processed in 1.03 seconds | Locations found: 3 | Total locations: 314
2025-02-20 21:14:25,597 - Batch 4850-4900 processed in 1.25 seconds | Locations found: 3 | Total locations: 317
2025-02-20 21:14:28,041 - Batch 4900-4950 processed in 2.44 seconds | Locations found: 5 | Total locations: 322
2025-02-20 21:14:29,447 - Batch 4950-5000 processed in 1.41 seconds | Locations found: 3 | Total locations: 325
2025-02-20 21:14:29,505 - Batch 5000-5004 processed in 0.06 seconds | Locations found: 0 | Total locations: 325
2025-02-20 21:14:29,505 - Completed NLP processing in 139.37 seconds
2025-02-20 21:14:29,543 - Saved JSON files in 0.04 seconds
2025-02-20 21:14:29,543 - Final Statistics:
2025-02-20 21:14:29,543 - Total unique researchers: 1389
2025-02-20 21:14:29,543 - Total unique works (titles) parsed: 4956
2025-02-20 21:14:29,543 - Total unique locations extracted: 146
2025-02-20 21:14:29,543 - Total execution time: 2.35 minutes
2025-02-20 21:17:08,079 - Loaded spaCy model in 1.65 seconds
2025-02-20 21:17:08,080 - Processing file: C:\Users\austi\IdeaProjects\expert-mapping-interface\src\geo\data\csv\expert_profiles.csv
2025-02-20 21:17:10,122 - Batch 0-50 processed in 2.01 seconds | Locations found: 1 | Total locations: 1
2025-02-20 21:17:11,387 - Batch 50-100 processed in 1.26 seconds | Locations found: 2 | Total locations: 3
2025-02-20 21:17:12,810 - Batch 100-150 processed in 1.42 seconds | Locations found: 4 | Total locations: 7
2025-02-20 21:17:13,857 - Batch 150-200 processed in 1.05 seconds | Locations found: 3 | Total locations: 10
2025-02-20 21:17:16,770 - Batch 200-250 processed in 2.91 seconds | Locations found: 4 | Total locations: 14
2025-02-20 21:17:17,840 - Batch 250-300 processed in 1.07 seconds | Locations found: 3 | Total locations: 17
2025-02-20 21:17:19,103 - Batch 300-350 processed in 1.26 seconds | Locations found: 5 | Total locations: 22
2025-02-20 21:17:22,532 - Batch 350-400 processed in 3.43 seconds | Locations found: 4 | Total locations: 26
2025-02-20 21:17:24,396 - Batch 400-450 processed in 1.86 seconds | Locations found: 1 | Total locations: 27
2025-02-20 21:17:25,415 - Batch 450-500 processed in 1.02 seconds | Locations found: 3 | Total locations: 30
